epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1395.5,0.30386,0.21339,0.21385,0.88876,0.99556,0.99633,0.99493,0.95878,0.99479,0.99633,0.9949,0.97964,0.30456,0.201,0.20888,0.86546,0.00106876,0.00106876,0.00106876
31,1441.92,0.30919,0.21663,0.21481,0.89588,0.99831,0.9951,0.99498,0.95065,0.99708,0.99387,0.99493,0.97243,0.33052,0.22502,0.21426,0.88803,0.00104813,0.00104813,0.00104813
32,1488.31,0.3005,0.21191,0.20738,0.89069,0.99613,0.99756,0.99496,0.95678,0.9949,0.99633,0.99495,0.97407,0.31934,0.21789,0.20061,0.87474,0.0010275,0.0010275,0.0010275
33,1534.67,0.29981,0.2138,0.20535,0.88774,0.99711,0.99756,0.99491,0.95611,0.99588,0.99633,0.99472,0.97526,0.31881,0.21539,0.19978,0.88747,0.00100687,0.00100687,0.00100687
34,1581.04,0.294,0.21047,0.20335,0.8834,0.99687,0.99657,0.99482,0.96015,0.99564,0.99534,0.99479,0.97586,0.28577,0.22157,0.19485,0.85734,0.000986239,0.000986239,0.000986239
35,1627.46,0.29098,0.2108,0.20197,0.88193,0.99678,0.99633,0.99494,0.95966,0.99714,0.99615,0.99496,0.97636,0.28734,0.21194,0.18853,0.863,0.00096561,0.00096561,0.00096561
36,1673.9,0.28331,0.20761,0.19814,0.87713,0.99827,0.99722,0.99498,0.95589,0.99705,0.99599,0.99494,0.97545,0.2995,0.20434,0.19146,0.87531,0.000944981,0.000944981,0.000944981
37,1720.32,0.27791,0.20624,0.19513,0.87645,0.9966,0.993,0.99478,0.96449,0.99537,0.99177,0.99475,0.97714,0.27591,0.21299,0.18333,0.85718,0.000924352,0.000924352,0.000924352
38,1766.72,0.27622,0.20492,0.19156,0.87632,0.99611,0.9951,0.99458,0.96377,0.99611,0.9951,0.99464,0.97759,0.2849,0.20843,0.18026,0.86303,0.000903722,0.000903722,0.000903722
39,1813.17,0.27323,0.2015,0.18925,0.87393,0.99567,0.99619,0.99488,0.96623,0.99445,0.99496,0.99485,0.98084,0.2774,0.20227,0.18156,0.85557,0.000883093,0.000883093,0.000883093
40,1859.59,0.27247,0.20154,0.19275,0.86791,0.99458,0.99688,0.99496,0.96076,0.99336,0.99565,0.99495,0.97709,0.28637,0.20376,0.1879,0.86324,0.000862464,0.000862464,0.000862464
41,1906.04,0.25861,0.19713,0.18549,0.86552,0.99763,0.99756,0.99489,0.96,0.99641,0.99633,0.99486,0.9731,0.28536,0.21185,0.18295,0.8674,0.000841835,0.000841835,0.000841835
42,1952.64,0.263,0.19914,0.18386,0.86592,0.99846,0.99633,0.99498,0.96506,0.99723,0.9951,0.9948,0.97969,0.27414,0.20231,0.17894,0.85483,0.000821206,0.000821206,0.000821206
43,1999.05,0.2578,0.19686,0.18199,0.8591,0.99762,0.99633,0.995,0.96303,0.99639,0.9951,0.99496,0.97863,0.28041,0.20882,0.1765,0.86218,0.000800577,0.000800577,0.000800577
44,2045.47,0.25379,0.19535,0.18128,0.85791,0.99788,0.9951,0.99493,0.96544,0.99665,0.99387,0.99488,0.97787,0.27122,0.20503,0.17842,0.84939,0.000779948,0.000779948,0.000779948
45,2091.87,0.25552,0.1951,0.18025,0.86008,0.99821,0.99756,0.99494,0.9595,0.99698,0.99633,0.99493,0.97789,0.29532,0.2048,0.18151,0.87699,0.000759318,0.000759318,0.000759318
46,2138.21,0.25116,0.19311,0.17843,0.85269,0.99841,0.99756,0.99496,0.96347,0.99719,0.99633,0.99493,0.97768,0.27758,0.19849,0.1745,0.86064,0.000738689,0.000738689,0.000738689
47,2184.6,0.25247,0.19157,0.17929,0.85441,0.99779,0.99756,0.99499,0.96323,0.99656,0.99633,0.99493,0.98135,0.26832,0.20213,0.17299,0.85447,0.00071806,0.00071806,0.00071806
48,2231,0.24634,0.19165,0.17436,0.85279,0.99679,0.9972,0.99498,0.96827,0.99556,0.99597,0.99494,0.97997,0.26753,0.19931,0.17421,0.84765,0.000697431,0.000697431,0.000697431
49,2277.42,0.2409,0.18888,0.17283,0.84894,0.99722,0.99756,0.99491,0.9663,0.99599,0.99633,0.99489,0.97859,0.26906,0.21136,0.16484,0.85898,0.000676802,0.000676802,0.000676802
50,2323.82,0.23643,0.18735,0.16718,0.84923,0.99813,0.99756,0.995,0.96722,0.99691,0.99633,0.99495,0.98022,0.2661,0.20335,0.16553,0.85542,0.000656173,0.000656173,0.000656173
51,2370.23,0.23557,0.18756,0.16754,0.84642,0.99484,0.99756,0.9948,0.9671,0.99362,0.99633,0.99467,0.9786,0.25414,0.19294,0.16128,0.84425,0.000635544,0.000635544,0.000635544
52,2416.65,0.23351,0.18508,0.16584,0.84645,0.99503,0.99633,0.99496,0.96569,0.99302,0.99756,0.99496,0.98035,0.26684,0.20092,0.1671,0.85736,0.000614915,0.000614915,0.000614915
53,2463.06,0.22953,0.18456,0.16389,0.84165,0.99816,0.9972,0.99485,0.9621,0.99694,0.99598,0.99485,0.97829,0.27124,0.20108,0.16874,0.86347,0.000594286,0.000594286,0.000594286
