epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4885,0.87725,0.58805,2.16637,1.44767,0.8384,0.89313,0.96297,0.69354,0.83289,0.88822,0.95865,0.79938,0.88362,0.79777,1.07185,1.38841,0.000553586,0.000553586,0.000553586
2,94.8487,0.79851,0.40379,0.94258,1.32445,0.87387,0.89394,0.9388,0.65727,0.85947,0.93375,0.95406,0.81025,0.97815,0.56845,0.8201,1.47309,0.00109553,0.00109553,0.00109553
3,140.871,0.77055,0.39337,0.63015,1.2867,0.94251,0.96777,0.98191,0.75798,0.94291,0.96441,0.98186,0.85653,0.81313,0.55079,0.58831,1.28155,0.00162371,0.00162371,0.00162371
4,186.843,0.71147,0.37727,0.51809,1.23082,0.96743,0.98159,0.99223,0.80373,0.96863,0.98281,0.99209,0.91797,0.73215,0.34754,0.49856,1.21099,0.00160511,0.00160511,0.00160511
